Bezirk,Avg_Rent_2023,Avg_Rent_2024,Avg_Rent_2025,YoY_Change_Pct,Fastest_Growing,,Growth_Pact
Mitte,19.5,20.07,21.13,8.4,,,8.4
Friedrichshain-Kreuzberg,19.94,20.38,22.07,10.7,,,10.7
Pankow,13.01,13.16,14.04,7.9,,,7.9
Charlottenburg-Wilmersdorf,18.69,19.65,20.67,10.6,,,10.6
Spandau,8.81,9.25,9.6,9.0,,,9.0
Steglitz-Zehlendorf,17.23,18.47,19.46,12.9,Fastest Growing 🏆,,12.9
Tempelhof-Schöneberg,13.06,13.52,14.32,9.6,,,9.6
Neukölln,10.56,11.03,11.38,7.8,,,7.8
Treptow-Köpenick,11.79,12.28,12.88,9.2,,,9.2
Marzahn-Hellersdorf,7.18,7.33,7.73,7.7,Slowest Growing,,7.7
Lichtenberg,9.5,9.87,10.63,11.9,,,11.9
Reinickendorf,10.25,10.8,11.27,10.0,,,10.0
