id,date_listed,ortsteil,bezirk,kiez_premium,lat,lon,property_type,rooms,area_m2,floor,total_floors,building_era,energy_class,position,condition,has_lift,has_balcony,furnished,transit_station,transit_line,transit_distance_min,to_brandenburg_gate_km,kaltmiete_eur_monthly,nebenkosten_eur_monthly,warmmiete_eur_monthly,rent_per_m2_kalt_eur,rent_includes_warmmiete,kaution_months,warmmiete_eur_monthly_usd,year,month
R000001,12/18/2023,Adlershof,Treptow-Köpenick,medium,52.44391,13.53835,2_room,2,55.1,0,3,post_war_1949_1990,E,vorderhaus,kernsaniert,FALSE,TRUE,FALSE,Konstanzer Straße,U7,203,13.53,517,281,798,9.37,FALSE,3,861,2023,12
R000002,6/7/2021,Lankwitz,Steglitz-Zehlendorf,medium,52.44035,13.33848,4_room,4,106.6,5,6,modern_1990_2010,E,vorderhaus,saniert,TRUE,FALSE,FALSE,Heinrich-Heine-Straße,U8,111,8.85,1281,347,1628,12.03,TRUE,3,1758,2021,6
R000003,8/19/2022,Britz,Neukölln,low,52.44825,13.45215,3_room,3,102.5,3,5,modern_1990_2010,C,vorderhaus,saniert,TRUE,FALSE,FALSE,Neukölln,U7,27,9.09,1366,524,1889,13.32,FALSE,1,2041,2022,8
R000004,12/29/2025,Hellersdorf,Marzahn-Hellersdorf,low,52.53063,13.62405,3_room,3,90.5,0,5,altbau_pre_1949,G,seitenflügel,kernsaniert,TRUE,FALSE,FALSE,Neukölln S,S Ringbahn,167,16.74,469,335,804,5.18,TRUE,2,869,2025,12
R000005,7/18/2022,Wartenberg,Lichtenberg,low,52.58212,13.50497,2_room,2,55.6,5,6,modern_1990_2010,H,vorderhaus,modernisiert,TRUE,TRUE,FALSE,Gesundbrunnen S,S Ringbahn,110,11.3,369,260,629,6.64,FALSE,2,679,2022,7
R000006,5/3/2024,Blankenburg,Pankow,low,52.59812,13.44139,2_room,2,60.1,1,5,modern_1990_2010,C,vorderhaus,kernsaniert,TRUE,FALSE,FALSE,Rathaus Spandau,U7,217,10.07,672,218,890,11.17,FALSE,3,961,2024,5
R000007,8/3/2024,Halensee,Charlottenburg-Wilmersdorf,high,52.49883,13.29736,2_room,2,69.8,0,6,post_war_1949_1990,H,hinterhaus,modernisiert,FALSE,FALSE,FALSE,Halensee S,S Ringbahn,1,5.77,1011,221,1232,14.49,TRUE,3,1330,2024,8
R000008,5/3/2024,Tegel,Reinickendorf,medium,52.5852,13.2701,2_room,2,67.8,3,5,post_war_1949_1990,E,vorderhaus,modernisiert,FALSE,TRUE,FALSE,Olympia-Stadion,U2,97,10.57,614,225,839,9.06,TRUE,3,906,2024,5
R000009,5/25/2024,Wartenberg,Lichtenberg,low,52.58552,13.50621,4_room,4,98,2,6,post_war_1949_1990,D,vorderhaus,modernisiert,FALSE,TRUE,FALSE,Prinzenstraße,U1,145,11.61,728,304,1032,7.42,TRUE,3,1114,2024,5
R000010,9/27/2021,Falkenberg,Lichtenberg,low,52.58612,13.5406,3_room,3,68.2,0,8,altbau_pre_1949,C,seitenflügel,renovierungsbedürftig,TRUE,TRUE,FALSE,Hackescher Markt,Stadtbahn,143,13.48,517,180,697,7.58,FALSE,3,753,2021,9
R000011,10/4/2024,Lichtenrade,Tempelhof-Schöneberg,low,52.38603,13.38612,4_room,4,112.6,1,4,post_war_1949_1990,F,vorderhaus,kernsaniert,TRUE,TRUE,FALSE,Sonnenallee,S Ringbahn,115,14.5,1303,391,1694,11.57,TRUE,3,1830,2024,10
R000012,3/26/2025,Lankwitz,Steglitz-Zehlendorf,medium,52.43358,13.35859,3_room,3,71.2,4,6,altbau_pre_1949,E,vorderhaus,kernsaniert,FALSE,FALSE,FALSE,Beusselstraße,S Ringbahn,129,9.29,1340,187,1527,18.84,FALSE,2,1649,2025,3
R000013,1/23/2025,Schmöckwitz,Treptow-Köpenick,medium,52.37146,13.64109,2_room,2,55,4,5,post_war_1949_1990,F,seitenflügel,renoviert,TRUE,TRUE,FALSE,Boddinstraße,U8,229,24.04,488,182,670,8.87,TRUE,2,723,2025,1
R000014,2/10/2021,Niederschönhausen,Pankow,medium,52.59036,13.40276,3_room,3,53.3,3,5,altbau_pre_1949,F,vorderhaus,renovierungsbedürftig,FALSE,FALSE,TRUE,Märkisches Museum,U2,81,8.41,446,164,610,8.36,TRUE,3,659,2021,2
R000015,3/31/2023,Wittenau,Reinickendorf,low,52.59004,13.3208,4_room,4,92.2,3,5,altbau_pre_1949,G,vorderhaus,renovierungsbedürftig,TRUE,TRUE,FALSE,Wittenau U,U8,3,9.06,1042,374,1415,11.3,FALSE,2,1529,2023,3
R000016,7/20/2020,Reinickendorf (Ort),Reinickendorf,low,52.57954,13.339,3_room,3,64,2,5,post_war_1949_1990,E,hinterhaus,saniert,FALSE,TRUE,TRUE,Weinmeisterstraße,U8,84,7.5,305,243,548,4.76,TRUE,3,592,2020,7
R000017,9/24/2022,Grunewald,Charlottenburg-Wilmersdorf,high,52.48897,13.25405,3_room,3,80.9,8,8,altbau_pre_1949,G,hinterhaus,kernsaniert,FALSE,TRUE,FALSE,Fehrbelliner Platz,U7,57,8.9,1461,427,1888,18.05,TRUE,2,2039,2022,9
R000018,2/12/2024,Köpenick (Ort),Treptow-Köpenick,medium,52.44266,13.55915,3_room,3,101.4,4,5,altbau_pre_1949,F,vorderhaus,modernisiert,FALSE,TRUE,FALSE,Hermannstraße S,S Ringbahn,121,14.77,1416,261,1678,13.97,FALSE,2,1812,2024,2
R000019,2/22/2024,Lichterfelde,Steglitz-Zehlendorf,medium,52.44561,13.30569,3_room,3,83.4,1,4,modern_1990_2010,B,vorderhaus,renovierungsbedürftig,TRUE,TRUE,FALSE,Mexikoplatz,S1,69,9.25,1369,248,1617,16.41,TRUE,2,1746,2024,2
